mes_anio,precipitacion_mm,num_registros,anio,mes
2017-01-01,145.9,8665,2017,1
2017-02-01,33.5,5923,2017,2
2017-03-01,142.4,4314,2017,3
2017-04-01,122.7,4320,2017,4
2017-05-01,152.5,4464,2017,5
2017-06-01,82.6,4319,2017,6
2017-07-01,18.3,4458,2017,7
2017-08-01,63.8,4410,2017,8
2017-09-01,32.4,4281,2017,9
2017-10-01,80.9,4111,2017,10
2017-11-01,80.7,3703,2017,11
2017-12-01,38.7,4008,2017,12
2018-01-01,19.7,4413,2018,1
2018-02-01,0.0,3928,2018,2
2018-03-01,59.9,5143,2018,3
2018-04-01,412.48,8070,2018,4
2018-05-01,256.16,8414,2018,5
2018-06-01,53.19,10027,2018,6
2018-07-01,78.6,34105,2018,7
2018-08-01,77.12,37854,2018,8
2018-09-01,160.45,41718,2018,9
2018-10-01,314.36,183205,2018,10
2018-11-01,923.81,316602,2018,11
2018-12-01,18.55,329225,2018,12
2019-01-01,300.43,546066,2019,1
2019-02-01,686.57,467649,2019,2
2019-03-01,1506.4,496441,2019,3
2019-04-01,2078.41,523306,2019,4
2019-05-01,1733.22,530621,2019,5
2019-06-01,1003.42,521103,2019,6
2019-07-01,591.56,518864,2019,7
2019-08-01,539.28,687910,2019,8
2019-09-01,1187.92,943312,2019,9
2019-10-01,1339.26,572963,2019,10
2019-11-01,2159.08,539808,2019,11
2019-12-01,568.63,570225,2019,12
2020-01-01,347.74,488172,2020,1
2020-02-01,1011.92,515986,2020,2
2020-03-01,72.0,3884,2020,3
2020-04-01,57.3,3853,2020,4
2020-05-01,53.26,4224,2020,5
2020-06-01,103.89,3990,2020,6
2020-07-01,100.6,4308,2020,7
2020-08-01,86.52,3978,2020,8
2020-09-01,96.59,3882,2020,9
2020-10-01,9.29,3497,2020,10
2020-11-01,93.23,3834,2020,11
2020-12-01,47.38,3540,2020,12
2021-01-01,9.2,2927,2021,1
2021-02-01,45.9,2653,2021,2
2021-03-01,98.8,3131,2021,3
2021-04-01,54.06,2278,2021,4
2021-05-01,139.54,2683,2021,5
2021-06-01,167.28,4285,2021,6
2021-07-01,43.3,3984,2021,7
2021-08-01,80.18,3690,2021,8
2021-09-01,60.55,4102,2021,9
2021-10-01,183.39,3965,2021,10
2021-11-01,163.38,3317,2021,11
2021-12-01,31.76,3734,2021,12
2022-01-01,10.86,3751,2022,1
2022-02-01,92.94,3670,2022,2
2022-03-01,16.08,2500,2022,3
2022-04-01,62.89,2162,2022,4
2022-05-01,104.37,3371,2022,5
2022-06-01,177.08,3986,2022,6
2022-07-01,72.24,3923,2022,7
2022-08-01,37.48,3616,2022,8
2022-09-01,51.84,3561,2022,9
2022-10-01,211.65,4029,2022,10
2022-11-01,1.49,260,2022,11
2022-12-01,18.43,2913,2022,12
2023-01-01,114.64,4162,2023,1
2023-02-01,41.05,3312,2023,2
2023-03-01,209.91,4046,2023,3
2023-04-01,343.63,4024,2023,4
2023-05-01,221.95,3665,2023,5
2023-06-01,38.16,2290,2023,6
