anio,mes,precipitacion_mm
2017,1,73.0
2017,2,29.8
2017,3,142.4
2017,4,122.7
2017,5,152.5
2017,6,82.6
2017,7,18.3
2017,8,63.8
2017,9,32.4
2017,10,80.9
2017,11,80.1
2017,12,38.3
2018,1,19.7
2018,2,0.0
2018,3,30.0
2018,4,239.9
2018,5,187.4
2018,6,31.6
2018,7,39.3
2018,8,38.6
2018,9,62.1
2018,10,82.7
2018,11,106.7
2018,12,4.4
2020,1,32.1
2020,2,73.9
2020,3,72.0
2020,4,57.3
2020,5,53.3
2020,6,103.9
2020,7,100.6
2020,8,86.5
2020,9,96.6
2020,10,9.3
2020,11,93.2
2020,12,47.4
2021,1,9.2
2021,2,45.9
2021,3,98.8
2021,4,54.1
2021,5,139.5
2021,6,167.3
2021,7,43.3
2021,8,80.2
2021,9,60.6
2021,10,183.4
2021,11,163.4
2021,12,31.8
2022,1,10.9
2022,2,92.9
2022,3,16.1
2022,4,62.9
2022,5,104.4
2022,6,177.1
2022,7,72.2
2022,8,37.5
2022,9,51.8
2022,10,211.6
2022,11,1.5
2022,12,18.4
